GARMIN LTD			Garmin International
Wix.com Ltd.			Wix.com, LTD.
TEXAS INSTRUMENTS INC			Texas Instruments Incorporated
Enova International, Inc.			Enova
TERADATA CORP /DE/			Teradata Corporation
RAPID7, INC.			Rapid7
Illumina Inc			Illumina, Inc.
Tencent Music Entertainment Group			Shenzhen Tencent Computer Systems CO.,Ltd
Infor, Inc.			Infor (US), LLC
CISCO SYSTEMS, INC.			Cisco Technology Inc.
Medidata Solutions, Inc.			Medidata Solutions
EPAM Systems, Inc.			EPAm Systems, Inc.
Banco Bilbao Vizcaya Argentaria			REDACTED FOR PRIVACY
Spotify Technology S.A.			Spotify AB
Atlassian Corp Plc			Atlassian Pty Ltd
Elastic N.V.			Elasticsearch
JD.com, Inc.			BEIJING JINGDONG 360 DU E-COMMERCE LTD.
CITRIX SYSTEMS INC			Citrix Systems Inc
CERNER CORP /MO/			Domains By Proxy, LLC
RAPID7, INC.			Rapid7
NXP Semiconductors N.V.			NXP B.V.
JUNIPER NETWORKS INC			Juniper Networks, Inc.
Cloudera, Inc.			Cloudera
Elastic N.V.			Elasticsearch
TERADATA CORP /DE/			Teradata Corporation
Target			Target Brands, Inc.
Wix.com Ltd.			Wix.com, LTD.
F5 NETWORKS INC			F5, Inc.
APPLE INC			Apple Inc.
XILINX INC			Xilinx, Inc.
Capital One Financial			Capital One Services, LLC
Banco Bilbao Vizcaya Argentaria			REDACTED FOR PRIVACY
PayPal Holdings, Inc.			PayPal Inc.
Elastic N.V.			Elasticsearch
ADVANCED MICRO DEVICES INC			Advanced Micro Devices, Inc.
Cloudera, Inc.			Cloudera
Tencent Music Entertainment Group			Shenzhen Tencent Computer Systems CO.,Ltd
NIKE INC			Nike, Inc.
ALLSTATE LIFE INSURANCE CO			Allstate Insurance Company
RAPID7, INC.			Rapid7
Wix.com Ltd.			Wix.com, LTD.
Target			Target Brands, Inc.
EPAM Systems, Inc.			EPAm Systems, Inc.
ZUORA INC			Zuora, Inc.
VONAGE HOLDINGS CORP			Vonage America Inc.
AVNET INC			Avnet, Inc.
F5 NETWORKS INC			F5, Inc.
BOX INC			Box, Inc.
CERNER CORP /MO/			Domains By Proxy, LLC
SVMK Inc.			SurveyMonkey Inc.
COGNIZANT TECHNOLOGY SOLUTIONS CORP			Cognizant Technology Solutions US Corporation
Huawei Investment &amp; Holding			Huawei Technologies Co., Ltd.
JUNIPER NETWORKS INC			Juniper Networks, Inc.
Australia &amp; New Zealand Banking Group			REDACTED FOR PRIVACY
EPAM Systems, Inc.			EPAm Systems, Inc.
ADVANCED MICRO DEVICES INC			Advanced Micro Devices, Inc.
PayPal Holdings, Inc.			PayPal Inc.
NETFLIX INC			Netflix, Inc.
